nodenumber     x-coordinate     y-coordinate     z-coordinate      temperature 
       197  8.235266635E-11  6.292781472E-05  4.399999976E-02  3.731388855E+02 
       198  7.396148971E-11  3.070792882E-03  4.399999976E-02  3.731371460E+02 
       199  2.524727649E-11  5.433392711E-03  4.399999976E-02  3.731346436E+02 
       200  4.185676111E-12  7.411433384E-03  4.399999976E-02  3.731318359E+02 
       201  2.649799824E-10  1.187863015E-02  4.399999976E-02  3.731226196E+02 
       202 -4.147063248E-11  1.613201760E-02  4.399999976E-02  3.731111755E+02 
       203 -1.692370133E-10  2.033977024E-02  4.399999976E-02  3.730988159E+02 
       204 -2.084687534E-09  2.500000037E-02  4.399999976E-02  3.730863037E+02 
       205  3.973026422E-11 -2.500000037E-02  4.800000042E-02  3.730864563E+02 
       206 -1.692778417E-10 -2.035816014E-02  4.800000042E-02  3.730991211E+02 
       207 -4.370244444E-11 -1.615167223E-02  4.800000414E-02  3.731118774E+02 
       208 -1.885371442E-10 -1.219676808E-02  4.800000042E-02  3.731230774E+02 
       209 -4.309594348E-12 -8.720454760E-03  4.800000042E-02  3.731309814E+02 
       210 -6.275876086E-13 -5.612934940E-03  4.800000042E-02  3.731359558E+02 
       211  1.283931572E-10 -5.501045380E-03  4.800000042E-02  3.731361084E+02 
       212  9.345042795E-11 -2.388990717E-03  4.800000042E-02  3.731386719E+02 
       213 -1.081516821E-12 -3.428672790E-04  4.800000042E-02  3.731393738E+02 
       214  8.235266635E-11  6.292778562E-05  4.800000042E-02  3.731394348E+02 
       215 -3.519674829E-11  3.070792882E-03  4.800000042E-02  3.731377258E+02 
       216  5.552047710E-11  5.433392711E-03  4.800000042E-02  3.731352234E+02 
       217 -9.947209723E-12  7.411433384E-03  4.800000042E-02  3.731324768E+02 
       218  2.649799824E-10  1.187863015E-02  4.800000042E-02  3.731231689E+02 
       219  1.673702843E-11  1.613201760E-02  4.800000042E-02  3.731117249E+02 
       220 -1.037533948E-10  2.033977024E-02  4.800000042E-02  3.730990906E+02 
       221 -2.006005362E-09  2.500000037E-02  4.800000042E-02  3.730864258E+02 
       222 -3.895188339E-11 -2.500000037E-02  5.200000107E-02  3.730865173E+02 
       223  1.272536243E-11 -2.035816014E-02  5.200000107E-02  3.730994263E+02 
       224 -5.399822256E-11 -1.615167223E-02  5.200000107E-02  3.731123657E+02 
       225 -3.722006037E-11 -1.219676808E-02  5.200000107E-02  3.731236572E+02 
       226 -4.309594348E-12 -8.720454760E-03  5.200000107E-02  3.731315308E+02 
       227 -1.481439971E-12 -5.612934940E-03  5.200000107E-02  3.731364746E+02 
       228  1.265741678E-10 -5.501045380E-03  5.200000107E-02  3.731366577E+02 
       229  9.345042795E-11 -2.388990717E-03  5.200000107E-02  3.731392517E+02 
       230  1.710837721E-11 -3.428673372E-04  5.200000107E-02  3.731398926E+02 
       231 -3.413977434E-12  6.292767648E-05  5.200000107E-02  3.731399536E+02 
       232  7.396148971E-11  3.070792882E-03  5.200000107E-02  3.731382446E+02 
       233 -3.651314667E-11  5.433392711E-03  5.200000107E-02  3.731357422E+02 
       234 -9.947209723E-12  7.411433384E-03  5.200000107E-02  3.731330566E+02 
       235  2.649799824E-10  1.187863015E-02  5.200000107E-02  3.731237488E+02 
